spend_id,spend_date,channel,campaign,spend_amount,impressions,clicks,attributed_orders,attributed_revenue
MKT-00001,2024-04-01,Paid Social,Meta Retargeting & Lookalike,3690.54,276790,10333,51,25245.0
MKT-00002,2024-04-01,Google Ads,Search Intent High-Value,3193.44,143704,13412,52,25480.0
MKT-00003,2024-04-01,Affiliate,Cashback & Review Partners,1454.73,43641,4509,32,16320.0
MKT-00004,2024-04-01,Email Marketing,Lifecycle VIP Retention,920.11,110413,7820,51,27030.0
MKT-00005,2024-04-02,Paid Social,Meta Retargeting & Lookalike,3789.47,284210,10610,53,26235.0
MKT-00006,2024-04-02,Google Ads,Search Intent High-Value,3221.23,144955,13529,52,25480.0
MKT-00007,2024-04-02,Affiliate,Cashback & Review Partners,1476.59,44297,4577,32,16320.0
MKT-00008,2024-04-02,Email Marketing,Lifecycle VIP Retention,944.74,113368,8030,52,27560.0
MKT-00009,2024-04-03,Paid Social,Meta Retargeting & Lookalike,3691.04,276828,10334,51,25245.0
MKT-00010,2024-04-03,Google Ads,Search Intent High-Value,3236.52,145643,13593,53,25970.0
MKT-00011,2024-04-03,Affiliate,Cashback & Review Partners,1491.55,44746,4623,33,16830.0
MKT-00012,2024-04-03,Email Marketing,Lifecycle VIP Retention,902.05,108246,7667,50,26500.0
MKT-00013,2024-04-04,Paid Social,Meta Retargeting & Lookalike,3714.56,278591,10400,52,25740.0
MKT-00014,2024-04-04,Google Ads,Search Intent High-Value,3143.14,141441,13201,51,24990.0
MKT-00015,2024-04-04,Affiliate,Cashback & Review Partners,1429.3,42879,4430,31,15810.0
MKT-00016,2024-04-04,Email Marketing,Lifecycle VIP Retention,923.62,110834,7850,51,27030.0
MKT-00017,2024-04-05,Paid Social,Meta Retargeting & Lookalike,3854.08,289055,10791,54,26730.0
MKT-00018,2024-04-05,Google Ads,Search Intent High-Value,3246.25,146081,13634,53,25970.0
MKT-00019,2024-04-05,Affiliate,Cashback & Review Partners,1457.25,43717,4517,32,16320.0
MKT-00020,2024-04-05,Email Marketing,Lifecycle VIP Retention,897.79,107734,7631,49,25970.0
MKT-00021,2024-04-06,Paid Social,Meta Retargeting & Lookalike,3697.99,277349,10354,51,25245.0
MKT-00022,2024-04-06,Google Ads,Search Intent High-Value,3288.92,148001,13813,53,25970.0
MKT-00023,2024-04-06,Affiliate,Cashback & Review Partners,1400.19,42005,4340,31,15810.0
