order_item_id,order_id,product_id,quantity,unit_price,unit_cogs,item_total
ITEM-0000001,ORD-000001,PRD-101,2,187.06,120.0,374.12
ITEM-0000002,ORD-000001,PRD-106,1,85.0,38.0,85.0
ITEM-0000003,ORD-000002,PRD-119,1,16.0,8.0,16.0
ITEM-0000004,ORD-000002,PRD-115,1,28.0,11.0,28.0
ITEM-0000005,ORD-000003,PRD-111,2,38.0,18.0,76.0
ITEM-0000006,ORD-000004,PRD-116,2,62.0,26.0,124.0
ITEM-0000007,ORD-000005,PRD-103,1,74.26,45.0,74.26
ITEM-0000008,ORD-000005,PRD-101,1,187.06,120.0,187.06
ITEM-0000009,ORD-000006,PRD-102,1,489.0,310.0,489.0
ITEM-0000010,ORD-000006,PRD-104,1,95.0,55.0,95.0
ITEM-0000011,ORD-000006,PRD-105,1,45.0,22.0,45.0
ITEM-0000012,ORD-000007,PRD-104,1,89.3,55.0,89.3
ITEM-0000013,ORD-000008,PRD-111,2,38.0,18.0,76.0
ITEM-0000014,ORD-000008,PRD-102,2,489.0,310.0,978.0
ITEM-0000015,ORD-000008,PRD-104,2,95.0,55.0,190.0
ITEM-0000016,ORD-000008,PRD-108,1,140.0,65.0,140.0
ITEM-0000017,ORD-000009,PRD-116,1,62.0,26.0,62.0
ITEM-0000018,ORD-000009,PRD-108,2,140.0,65.0,280.0
ITEM-0000019,ORD-000009,PRD-109,1,32.0,12.0,32.0
ITEM-0000020,ORD-000010,PRD-115,1,28.0,11.0,28.0
ITEM-0000021,ORD-000011,PRD-115,1,28.0,11.0,28.0
ITEM-0000022,ORD-000011,PRD-114,1,29.0,14.0,29.0
ITEM-0000023,ORD-000012,PRD-119,2,16.0,8.0,32.0
ITEM-0000024,ORD-000013,PRD-109,1,32.0,12.0,32.0
ITEM-0000025,ORD-000014,PRD-117,1,42.0,16.0,42.0
ITEM-0000026,ORD-000014,PRD-107,1,65.0,24.0,65.0
ITEM-0000027,ORD-000014,PRD-105,2,42.3,22.0,84.6
