order_id,customer_id,order_date,order_status,payment_method,shipping_partner,gross_amount,discount_amount,net_amount,delivery_fee,delivery_cost
ORD-000001,CUST-013555,2024-09-06,Delivered,Net Banking,FastLogistics,459.12,34.15,424.97,0.0,82.77
ORD-000002,CUST-001944,2024-06-18,Delivered,Credit Card,FastLogistics,44.0,1.33,42.67,5.0,73.17
ORD-000003,CUST-003523,2024-04-07,Delivered,Credit Card,FastLogistics,76.0,2.64,73.36,5.0,71.76
ORD-000004,CUST-011117,2024-06-11,Delivered,Credit Card,FastLogistics,124.0,2.8,121.2,0.0,74.25
ORD-000005,CUST-004057,2024-07-29,Delivered,Credit Card,FastLogistics,261.32,12.4,248.92,0.0,86.78
ORD-000006,CUST-010210,2024-04-08,Delivered,Credit Card,FastLogistics,629.0,15.06,613.94,0.0,71.52
ORD-000007,CUST-003664,2024-08-06,Delivered,Net Banking,FastLogistics,89.3,7.9,81.4,0.0,85.04
ORD-000008,CUST-002204,2024-04-06,Delivered,Net Banking,BlueDart,1384.0,47.16,1336.84,0.0,89.59
ORD-000009,CUST-008709,2024-06-21,Delivered,UPI,ExpressCargo,374.0,5.0,369.0,0.0,69.78
ORD-000010,CUST-010765,2024-08-18,Delivered,UPI,FastLogistics,28.0,1.33,26.67,5.0,82.95
ORD-000011,CUST-006238,2024-07-24,Delivered,Credit Card,BlueDart,57.0,3.38,53.62,5.0,89.84
ORD-000012,CUST-012169,2024-06-03,Delivered,Net Banking,FastLogistics,32.0,1.15,30.85,5.0,69.41
ORD-000013,CUST-005516,2024-05-16,Delivered,Credit Card,BlueDart,32.0,0.98,31.02,5.0,88.08
ORD-000014,CUST-013570,2024-09-26,Delivered,Credit Card,FastLogistics,191.6,15.18,176.42,0.0,86.9
ORD-000015,CUST-008957,2024-05-15,Delivered,UPI,FastLogistics,98.0,2.15,95.85,0.0,69.98
ORD-000016,CUST-005476,2024-09-06,Delivered,Credit Card,BlueDart,375.5,16.15,359.35,0.0,91.74
ORD-000017,CUST-000560,2024-07-19,Delivered,Credit Card,BlueDart,290.0,22.39,267.61,0.0,91.68
ORD-000018,CUST-005821,2024-05-06,Delivered,UPI,ExpressCargo,85.0,2.88,82.12,0.0,70.43
ORD-000019,CUST-008438,2024-06-19,Delivered,UPI,BlueDart,218.0,6.72,211.28,0.0,86.71
ORD-000020,CUST-002105,2024-09-27,Delivered,UPI,FastLogistics,64.0,3.25,60.75,5.0,87.65
ORD-000021,CUST-003527,2024-04-24,Delivered,UPI,ExpressCargo,322.0,4.24,317.76,0.0,66.7
ORD-000022,CUST-014131,2024-05-04,Delivered,Credit Card,FastLogistics,195.0,1.98,193.02,0.0,73.94
ORD-000023,CUST-004886,2024-09-20,Delivered,Credit Card,BlueDart,42.3,3.11,39.19,5.0,92.08
ORD-000024,CUST-003271,2024-06-08,Delivered,Credit Card,FastLogistics,124.0,4.27,119.73,0.0,71.48
ORD-000025,CUST-005012,2024-09-02,Delivered,Credit Card,BlueDart,202.0,12.67,189.33,0.0,92.24
ORD-000026,CUST-005177,2024-05-27,Delivered,Net Banking,FastLogistics,446.0,12.26,433.74,0.0,72.48
ORD-000027,CUST-004594,2024-05-08,Delivered,Net Banking,FastLogistics,450.0,16.19,433.81,0.0,69.42
ORD-000028,CUST-002778,2024-08-23,Delivered,Credit Card,FastLogistics,235.0,12.8,222.2,0.0,87.37
ORD-000029,CUST-009072,2024-06-15,Delivered,UPI,FastLogistics,170.0,4.78,165.22,0.0,71.05
ORD-000030,CUST-008509,2024-06-16,Delivered,Credit Card,ExpressCargo,195.0,5.81,189.19,0.0,69.97
ORD-000031,CUST-007563,2024-09-14,Delivered,Credit Card,BlueDart,19.5,1.23,18.27,5.0,91.55
ORD-000032,CUST-008309,2024-08-25,Delivered,UPI,FastLogistics,105.0,5.61,99.39,0.0,84.85
ORD-000033,CUST-013080,2024-05-27,Delivered,UPI,FastLogistics,28.0,0.48,27.52,5.0,69.46
ORD-000034,CUST-012159,2024-04-14,Delivered,UPI,FastLogistics,195.0,7.49,187.51,0.0,69.82
ORD-000035,CUST-004891,2024-08-10,Delivered,Credit Card,ExpressCargo,124.0,7.95,116.05,0.0,75.02
ORD-000036,CUST-011219,2024-07-01,Delivered,Credit Card,FastLogistics,157.0,6.96,150.04,0.0,85.21
ORD-000037,CUST-014947,2024-09-26,Delivered,Credit Card,BlueDart,140.0,7.82,132.18,0.0,92.79
ORD-000038,CUST-004967,2024-09-27,Delivered,UPI,ExpressCargo,140.0,11.84,128.16,0.0,74.34
ORD-000039,CUST-000230,2024-04-20,Delivered,Credit Card,FastLogistics,296.0,3.36,292.64,0.0,69.49
ORD-000040,CUST-006715,2024-05-14,Delivered,Credit Card,BlueDart,58.0,1.17,56.83,5.0,89.74
ORD-000041,CUST-013611,2024-09-21,Delivered,UPI,FastLogistics,190.0,14.81,175.19,0.0,87.36
ORD-000042,CUST-002483,2024-08-27,Delivered,COD,FastLogistics,500.6,43.8,456.8,0.0,83.63
ORD-000043,CUST-010389,2024-06-26,Delivered,Credit Card,ExpressCargo,190.0,2.25,187.75,0.0,68.95
ORD-000044,CUST-009867,2024-08-09,Delivered,UPI,ExpressCargo,42.3,2.45,39.85,5.0,76.94
ORD-000045,CUST-001682,2024-05-11,Delivered,UPI,FastLogistics,398.0,14.86,383.14,0.0,73.06
ORD-000046,CUST-007923,2024-09-29,Delivered,Net Banking,ExpressCargo,428.0,36.94,391.06,0.0,77.3
ORD-000047,CUST-009305,2024-09-29,Delivered,Credit Card,FastLogistics,28.0,1.17,26.83,5.0,85.84
ORD-000048,CUST-012742,2024-07-01,Delivered,Net Banking,ExpressCargo,16.0,1.26,14.74,5.0,76.63
ORD-000049,CUST-007527,2024-04-23,Delivered,Credit Card,FastLogistics,978.0,27.05,950.95,0.0,72.91
ORD-000050,CUST-001869,2024-06-05,Delivered,Net Banking,FastLogistics,190.0,2.57,187.43,0.0,74.56
ORD-000051,CUST-012520,2024-08-18,Delivered,Credit Card,BlueDart,89.3,8.02,81.28,0.0,92.98
ORD-000052,CUST-014278,2024-07-11,Delivered,UPI,ExpressCargo,38.0,2.14,35.86,5.0,75.24
ORD-000053,CUST-007704,2024-04-27,Delivered,Net Banking,ExpressCargo,84.0,2.2,81.8,0.0,70.82
