return_id,order_id,return_date,return_reason,refund_amount,reverse_logistics_cost,restockable
RET-000001,ORD-000071,2024-05-12,Late Delivery,93.9,49.3,True
RET-000002,ORD-000080,2024-08-09,Wrong Size / Fit,18.37,40.51,True
RET-000003,ORD-000088,2024-08-12,Buyer Remorse,298.91,36.12,True
RET-000004,ORD-000100,2024-04-22,Item Defective,62.44,44.56,False
RET-000005,ORD-000104,2024-06-30,Late Delivery,192.79,40.48,True
RET-000006,ORD-000110,2024-09-21,Item Defective,177.19,36.64,True
RET-000007,ORD-000115,2024-05-18,Wrong Size / Fit,124.98,41.95,True
RET-000008,ORD-000135,2024-09-01,Item Defective,327.1,37.65,True
RET-000009,ORD-000143,2024-06-17,Late Delivery,28.08,41.49,True
RET-000010,ORD-000149,2024-09-29,Item Defective,358.23,51.8,True
RET-000011,ORD-000176,2024-10-05,Wrong Size / Fit,679.69,45.95,True
RET-000012,ORD-000178,2024-04-15,Late Delivery,123.1,48.14,True
RET-000013,ORD-000198,2024-07-06,Late Delivery,356.48,45.33,True
RET-000014,ORD-000231,2024-07-28,Wrong Size / Fit,117.62,46.86,True
RET-000015,ORD-000250,2024-04-15,Wrong Size / Fit,558.4,51.32,True
RET-000016,ORD-000276,2024-06-23,Item Defective,138.9,36.66,False
RET-000017,ORD-000309,2024-05-14,Wrong Size / Fit,382.77,35.58,True
RET-000018,ORD-000314,2024-09-08,Wrong Size / Fit,58.42,39.11,False
RET-000019,ORD-000315,2024-06-28,Late Delivery,185.87,49.9,True
RET-000020,ORD-000338,2024-07-27,Late Delivery,59.23,41.37,True
RET-000021,ORD-000339,2024-09-19,Late Delivery,178.23,45.8,True
RET-000022,ORD-000414,2024-06-12,Late Delivery,295.83,38.66,True
RET-000023,ORD-000433,2024-06-23,Item Defective,191.24,39.1,True
RET-000024,ORD-000438,2024-09-16,Wrong Size / Fit,74.22,39.46,False
RET-000025,ORD-000505,2024-04-13,Item Defective,182.31,41.33,True
RET-000026,ORD-000518,2024-05-29,Wrong Size / Fit,950.19,50.2,True
RET-000027,ORD-000534,2024-10-03,Item Defective,288.01,39.67,True
RET-000028,ORD-000582,2024-09-21,Wrong Size / Fit,26.45,48.01,True
RET-000029,ORD-000613,2024-07-11,Item Defective,80.39,42.11,True
RET-000030,ORD-000616,2024-08-11,Wrong Size / Fit,111.3,51.94,True
RET-000031,ORD-000622,2024-09-15,Wrong Size / Fit,36.81,38.5,True
RET-000032,ORD-000630,2024-07-20,Item Defective,46.05,37.1,True
RET-000033,ORD-000639,2024-10-05,Wrong Size / Fit,108.49,47.81,True
RET-000034,ORD-000651,2024-05-13,Wrong Size / Fit,111.69,39.34,False
RET-000035,ORD-000681,2024-04-25,Late Delivery,31.14,51.37,True
RET-000036,ORD-000685,2024-06-23,Late Delivery,37.22,48.54,False
RET-000037,ORD-000700,2024-04-13,Item Defective,476.04,36.42,True
RET-000038,ORD-000705,2024-09-06,Item Defective,222.97,44.69,False
